Smiles,pChEMBL_Value
CC(C)NCC(Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3c2[C@H](C)SC3)CC1,6.8
C[C@@H]1OCc2ncnc(N3CCN(C(=O)C(Cc4ccc(Cl)c(F)c4)CC(C)(C)N)CC3)c21,6.23
O=C(NCCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1,6.2
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc(F)c1F,6.13
CNS(=O)(=O)c1ccc(C(=O)N2CCOc3ccc(-c4ccc5nc[nH]c5c4)cc3C2)cc1,6.09
O=C(Nc1ccc2c(c1)CCO2)NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,6.28
CS(=O)(=O)C1(c2cc(N3CCOCC3)nc(-c3cccc4[nH]ccc34)n2)CCNCC1,5.82
NC1(c2ccc(-c3c(-c4ccccc4)ccc4ccnn34)cc2)CCC1,6.08
CCC[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)CN(C(=O)[C@@H](N)CCCNC(=N)N)CCNC(=O)NCCCCCCN(CC(N)=O)C(=O)[C@H](CCC(C)C)NC(=O)[C@H](CN)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,6.54
CC(C)NCC(Cc1ccc(Cl)c(F)c1)C(=O)N1CCN(c2ncnc3c2[C@H](C)OC3)CC1,6.5
CN(C)C(=O)C1c2ccccc2CN1C(=O)c1cc(Cl)c(O)cc1O,5.82
NC[C@H](CC1CCCCC1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,5.72
CCN(CC)c1nccc(-c2sc(NC(=O)N3CCC[C@H]3C(N)=O)nc2C)n1,6.77
CN(C)CCNC(=O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,5.26
CCCCCCCCCC(=O)Nc1ccc(S(=O)(=O)Nc2nncs2)cc1,5.0
O=C(NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1cccnc1,6.7
Cc1nc(N)nc(-c2cc(C(C)(C)O)cnc2Nc2cncc(S(C)(=O)=O)c2)n1,5.94
COCCOc1cc(Cl)cc(Cl)c1-c1nc(N)nc2c1CN(C(=O)NC1CCC1)C2,5.7
Cc1nc(N)ncc1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,6.77
CN(C)[C@@H]1C[C@@H](C(N)=O)N(C(=O)Nc2nc3c(s2)-c2nc(C(C)(C)C)ncc2CC3)C1,6.58
[C-]#[N+]c1ccc(C(=O)N2CCN(Cc3ccc(-c4nnc5n4-c4cccnc4Nc4ccccc4-5)cc3)CC2)cc1,6.0
c1ccc(-c2nnc(C3CCN(Cc4ccc(-c5nnc6n5-c5ccccc5Nc5ccccc5-6)cc4)CC3)[nH]2)nc1,6.6
COc1ccc2[nH]c(Cc3nc(N4CCOCC4)cc(=O)[nH]3)nc2c1,6.32
Nc1cc(C(F)(F)F)c(-c2cc(C3(S(=O)(=O)c4cccc(F)c4)CC3)nc(N3CCOCC3)n2)cn1,6.22
CCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,6.84
Cc1nc(N)nc2c1cc(-c1cnc3ccccc3c1)c(=O)n2[C@H]1CC[C@@H](OCO)CC1,6.98
COc1cc2ncc3c(N)nc(-c4cncc(OC[C@H](N)Cc5c[nH]c6ccccc56)c4)cc3c2cc1OC,5.88
CCC(=O)N1CC[C@H](Oc2cnnc3ccc(-c4ccc(OC)nc4)cc23)C1,5.55
Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,6.86
Nc1c(S(=O)(=O)O)cc(Nc2cccc(S(N)(=O)=O)c2)c2c1C(=O)c1ccccc1C2=O,4.52
CCc1cc(-c2c[nH]c3ncc(-c4ccc(N)nc4)cc23)nc(N)n1,4.68
NCc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,6.16
